State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,36.7%,36.0%,33.2%,"83,262,122","81,687,059","227,157,964","245,838,140",8.3%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814",
Alabama,33.2%,32.9%,31.5%,"1,191,274","1,180,413","3,588,783","3,738,721",2.6%,"31,691","53,640","8,097","69,826",,AL
Alaska,54.8%,54.2%,51.0%,"285,431","282,382","520,562","550,837",3.9%,"5,216","7,077","2,210","11,389",,AK
Arizona,34.1%,33.4%,29.5%,"1,537,671","1,506,416","4,510,186","5,119,512",9.7%,"37,516","73,232","7,502","86,028",,AZ
Arkansas,40.3%,40.1%,37.5%,"852,642","848,592","2,117,881","2,262,057",3.8%,"17,756","28,192","21,743","55,287",,AR
California,30.7%,29.9%,24.7%,"7,513,972","7,317,581","24,440,416","29,677,092",16.7%,"136,088",0,"87,104","223,192",,CA
Colorado,54.7%,53.7%,49.4%,"2,080,071","2,041,020","3,800,664","4,127,123",7.0%,"19,121",0,"10,067","29,188",,CO
Connecticut,42.5%,42.3%,38.5%,"1,096,556","1,089,880","2,577,311","2,828,562",8.2%,"16,113",0,"2,564","18,677",,CT
Delaware,34.9%,34.3%,31.8%,"238,110","234,038","681,526","733,971",5.6%,"6,625","15,665",676,"16,073",,DE
District of Columbia,35.7%,35.3%,32.0%,"177,176","175,071","495,899","548,623",9.2%,0,0,0,0,,DC
Florida,43.3%,42.8%,37.6%,"6,026,802","5,951,561","13,914,216","15,945,404",10.5%,"95,671","227,087","4,519","227,359",,FL
Georgia,38.6%,38.2%,33.8%,"2,596,947","2,567,761","6,725,041","7,629,263",7.1%,"50,499","471,067","25,547","339,844",,GA
Hawaii,36.5%,36.2%,32.9%,"369,554","366,125","1,012,123","1,112,282",8.9%,"5,721",0,0,"5,721",,HI
Idaho,39.8%,39.3%,36.5%,"445,307","439,830","1,119,882","1,205,335",4.6%,"7,901","33,450","4,217","30,850",,ID
Illinois,40.8%,40.2%,36.6%,"3,680,417","3,627,690","9,028,752","9,895,610",8.7%,"46,465",0,0,"46,465",,IL
Indiana,28.7%,27.8%,26.7%,"1,387,622","1,341,814","4,829,510","5,018,794",3.7%,"28,638",0,0,"28,638",,IN
Iowa,50.3%,49.8%,47.3%,"1,142,284","1,129,700","2,269,179","2,381,863",3.5%,"8,686","29,929","5,769","31,215",,IA
Kansas,43.3%,42.5%,39.8%,"887,023","869,502","2,048,164","2,180,860",5.3%,"9,326","16,328","4,051","22,521",,KS
Kentucky,44.9%,44.2%,42.2%,"1,459,409","1,435,868","3,247,300","3,400,898",2.5%,"21,402","54,107","16,729","68,431",,KY
Louisiana,44.9%,43.9%,41.5%,"1,503,975","1,472,039","3,349,433","3,541,411",2.8%,"37,881","40,979","29,619","90,448",,LA
Maine,58.7%,58.1%,57.0%,"616,996","611,255","1,051,557","1,070,535",1.7%,0,0,0,0,,ME
Maryland,42.0%,41.7%,37.3%,"1,745,104","1,733,177","4,154,546","4,631,815",8.7%,"20,388","79,539","11,537","76,467",,MD
Massachusetts,44.7%,44.1%,40.2%,"2,186,789","2,158,326","4,896,296","5,381,878",8.7%,"10,014",0,0,"10,014",,MA
Michigan,43.2%,42.7%,41.0%,"3,188,956","3,156,531","7,383,958","7,696,494",3.6%,"42,900",0,0,"42,900",,MI
