State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Source,,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,"159,738,337","158,407,854",66.6%,66.0%,"239,924,038","258,339,023",7.8%,"1,461,074","1,962,811","616,440","3,294,457","4,971,025",
Alabama,https://www.sos.alabama.gov/sites/default/files/election-2020/Final%20Canvass%20of%20Results-Merged.pdf,OFFICIAL,"2,325,000","2,323,282",61.8%,61.8%,"3,761,001","3,917,288",2.3%,"25,898","50,997","10,266","67,782",,AL
Alaska,https://www.elections.alaska.gov/results/20GENR/index.php,OFFICIAL,"361,400","359,530",68.4%,68.1%,"528,180","553,820",3.4%,"4,293","2,074","1,348","6,927",,AK
Arizona,https://azsos.gov/elections/voter-registration-historical-election-data,OFFICIAL,"3,420,585","3,387,054",68.6%,68.0%,"4,984,557","5,574,070",8.9%,"38,520","76,844","7,536","93,699",,AZ
Arkansas,https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,OFFICIAL,"1,223,675","1,219,069",56.5%,56.3%,"2,166,787","2,315,001",3.6%,"17,510","36,719","24,698","64,974",,AR
California,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-3-2020/statement-vote,OFFICIAL,"17,785,151","17,500,881",68.6%,67.5%,"25,917,882","30,730,598",15.0%,"104,730",0,"102,586","207,316",,CA
Colorado,https://www.sos.state.co.us/pubs/elections/resultsData.html?menuheaders=5,OFFICIAL,"3,295,666","3,256,980",77.6%,76.7%,"4,246,895","4,525,319",5.7%,"18,905",0,0,"18,905",,CO
Connecticut,https://ctemspublic.pcctg.net/#/selectTown,OFFICIAL,"1,861,086","1,824,280",70.7%,69.3%,"2,632,351","2,871,003",7.7%,"13,268",0,"4,452","17,720",,CT
Delaware,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,OFFICIAL,"509,241","504,346",70.1%,69.5%,"725,994","786,622",5.8%,"5,874","14,176",350,"15,013",,DE
District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,OFFICIAL,"346,491","344,356",65.8%,65.4%,"526,607","566,909",7.1%,0,0,0,0,,DC
Florida,https://floridaelectionwatch.gov/CountyReportingStatus,OFFICIAL,"11,144,855","11,067,456",72.3%,71.8%,"15,404,801","17,379,930",10.1%,"91,674","205,033","4,345","223,139",,FL
Georgia,https://results.enr.clarityelections.com/GA/107231/web.264614/#/summary,OFFICIAL,"5,023,159","4,999,960",68.2%,67.9%,"7,364,716","8,234,938",6.6%,"50,930","416,771","20,426","329,754",,GA
Hawaii,https://elections.hawaii.gov/election-results/,OFFICIAL,"579,784","574,469",55.7%,55.2%,"1,041,039","1,150,905",9.1%,"5,007",0,0,"5,007",,HI
Idaho,https://sos.idaho.gov/elections-division/election-results/,OFFICIAL,"878,527","868,014",67.6%,66.8%,"1,298,949","1,391,199",4.1%,"8,378","34,392","5,267","34,968",,ID
Illinois,https://www.elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx?T=637426684043454616,OFFICIAL,"6,050,000","6,033,744",66.1%,66.0%,"9,148,531","9,964,476",7.8%,"38,464",0,0,"38,464",,IL
Indiana,https://enr.indianavoters.in.gov/site/index.html,OFFICIAL,"3,068,542","3,033,121",61.5%,60.8%,"4,985,618","5,199,619",3.6%,"26,302",0,0,"26,302",,IN
Iowa,https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,OFFICIAL,"1,700,130","1,690,871",72.9%,72.5%,"2,332,831","2,451,863",3.5%,"9,216","29,137","6,652","33,933",,IA
Kansas*,https://sos.ks.gov/elections/20elec/2020_General_Official_Vote_Totals.pdf,OFFICIAL,"1,375,125","1,373,763",65.7%,65.6%,"2,094,282","2,229,903",4.9%,"9,882","16,455","5,438","25,522",,KS
Kentucky,https://elect.ky.gov/results/2020-2029/Documents/2020%20General%20Election%20Results.pdf,OFFICIAL,"2,150,954","2,136,768",64.8%,64.4%,"3,319,244","3,486,455",2.8%,"23,280","46,967","15,881","68,281",,KY
Louisiana,https://voterportal.sos.la.gov/static/2020-11-03,OFFICIAL,"2,169,401","2,148,062",64.2%,63.6%,"3,378,891","3,562,696",2.8%,"32,267","35,025","29,321","83,304",,LA
