State,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Preliminary Total Turnout Estimate,Status,Source,Preliminary Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,"112,030,874",,,46.2%,"242,690,810","261,673,203",7.5%,"1,157,707","1,145,315","340,972","2,643,994","3,129,152",
Alabama*,"1,424,087",Certified,https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001160,37.3%,"3,820,009","3,977,770",2.3%,"25,328","32,711","8,245","66,284",,AL
Alaska,"267,047",Official,https://www.elections.alaska.gov/election-results/,50.2%,"531,448","558,308",3.5%,"4,578","1,682","1,003","7,263",,AK
Arizona,"2,592,313",Certified,https://azsos.gov/elections,49.3%,"5,257,070","5,806,140",7.9%,"34,997","50,333","6,887","92,217",,AZ
Arkansas,"914,227",Official,https://results.enr.clarityelections.com/AR/115767/web.307039/#/summary,41.5%,"2,202,252","2,357,190",3.6%,"15,850","27,511","25,852","69,213",,AR
California,"11,146,610",Certified,https://electionresults.sos.ca.gov/,42.9%,"25,994,715","30,542,685",14.6%,"97,328",0,0,"97,328",,CA
Colorado,"2,540,666",Official,https://results.enr.clarityelections.com/CO/115903/web.307039/#/summary,58.3%,"4,357,176","4,642,930",5.8%,"14,990",0,0,"14,990",,CO
Connecticut,"1,297,811",Official,https://ctemspublic.pcctg.net/#/home,48.6%,"2,672,164","2,901,604",7.6%,"9,297",0,0,"9,297",,CT
Delaware,"325,632",Official,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2022,42.8%,"761,497","815,329",5.1%,"4,653","7,004",373,"12,030",,DE
District of Columbia,"205,774",Certified,https://electionresults.dcboe.org/election_results/2022-General-Election,40.6%,"506,405","548,366",7.7%,0,0,0,0,,DC
Florida,"7,796,916",Official,https://floridaelectionwatch.gov/Home,48.1%,"16,197,278","18,100,676",9.4%,"75,977","123,920","4,280","204,177",,FL
Georgia,"3,964,926",Official,https://results.enr.clarityelections.com/GA/115465/web.307039/#/summary,51.9%,"7,644,125","8,445,249",5.9%,"44,796","235,589","19,447","299,832",,GA
Hawaii,"423,443",Final,https://elections.hawaii.gov/election-results/,40.5%,"1,046,736","1,144,775",8.2%,"4,097",0,0,"4,097",,HI
Idaho*,"595,350",Official,https://www.livevoterturnout.com/ENR/idaho/124/1/en/Index_124.html,42.6%,"1,397,732","1,490,206",4.0%,"7,996","18,918","5,967","32,881",,ID
Illinois,"4,144,125",Certified,https://www.elections.il.gov/Main/Publications.aspx,45.8%,"9,048,164","9,859,786",7.9%,"28,582",0,0,"28,582",,IL
Indiana,"1,880,755",Final,https://enr.indianavoters.in.gov/site/index.html,37.2%,"5,061,894","5,277,826",3.6%,"23,458",0,0,"23,458",,IN
