,State,Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Party,Year
0,United States,"80,295,249","198,381,939","215,461,549",N/A,2002
1,Alabama,,"3,285,643","3,371,451",Republican,2002
2,Alaska,"232,852","427,337","457,154",Republican,2002
3,Arizona,"1,255,615","3,419,481","3,998,148",Republican,2002
4,Arkansas,"814,176","1,951,568","2,031,787",Republican,2002
5,California,"7,738,821","20,733,192","25,622,609",Democrat,2002
6,Colorado,"1,424,029","3,056,465","3,362,098",Republican,2002
7,Connecticut,"1,090,756","2,418,037","2,617,814",Democrat,2002
8,Delaware,,"564,938","612,919",Democrat,2002
9,Florida,"5,143,674","11,194,391","13,005,435",Republican,2002
10,Georgia,,"5,731,983","6,287,215",Republican,2002
11,Hawaii,"385,462","872,992","950,520",Democrat,2002
12,Idaho,"416,533","921,256","970,916",Republican,2002
13,Illinois,"3,651,808","8,540,965","9,302,571",Democrat,2002
14,Indiana,,"4,494,191","4,587,747",Republican,2002
15,Iowa,"1,040,201","2,136,683","2,214,936",Democrat,2002
16,Kansas,"851,966","1,897,261","2,007,407",Republican,2002
17,Kentucky,,"3,044,267","3,100,972",Republican,2002
18,Louisiana,"1,267,225","3,163,663","3,312,330",Republican,2002
19,Maine,,"995,056","1,001,796",Democrat,2002
20,Maryland,"1,721,626","3,678,346","4,082,694",Democrat,2002
21,Massachusetts,"2,220,301","4,458,820","4,919,958",Democrat,2002
22,Michigan,"3,219,864","7,147,888","7,445,335",Democrat,2002
23,Minnesota,,"3,518,184","3,745,577",Democrat,2002
24,Mississippi,,"2,047,426","2,099,698",Republican,2002
25,Missouri,,"4,116,889","4,262,146",Republican,2002
26,Montana,"340,272","684,572","690,652",Republican,2002
27,Nebraska,,"1,204,512","1,285,024",Republican,2002
28,Nevada,"512,433","1,391,100","1,640,679",Republican,2002
29,New Hampshire,"453,078","930,362","960,401",Republican,2002
30,New Jersey,"2,161,105","5,549,726","6,448,445",Democrat,2002
31,New Mexico,"502,230","1,255,086","1,360,130",Democrat,2002
32,New York,"4,690,968","12,679,865","14,504,792",Democrat,2002
33,North Carolina,,"5,876,705","6,314,679",Republican,2002
34,North Dakota,"237,224","476,251","486,797",Republican,2002
35,Ohio,"3,356,285","8,322,521","8,556,557",Republican,2002
36,Oklahoma,,"2,513,143","2,610,016",Republican,2002
37,Oregon,"1,293,756","2,495,739","2,674,581",Democrat,2002
38,Pennsylvania,,"9,143,001","9,454,338",Democrat,2002
39,Rhode Island,"337,027","741,776","819,310",Democrat,2002
40,South Carolina,,"2,982,810","3,100,548",Republican,2002
41,South Dakota,"340,407","556,154","564,305",Republican,2002
42,Tennessee,,"4,151,834","4,393,757",Republican,2002
43,Texas,"4,552,059","13,181,016","15,718,593",Republican,2002
44,Utah,"568,290","1,504,529","1,601,707",Republican,2002
45,Vermont,"232,993","471,403","472,402",Democrat,2002
46,Virginia,"1,661,915","5,138,270","5,536,511",Republican,2002
47,Washington,"1,808,720","4,162,032","4,553,733",Democrat,2002
48,West Virginia,"440,156","1,398,124","1,413,580",Republican,2002
49,Wisconsin,,"3,908,088","4,094,028",Democrat,2002
50,Wyoming,"188,028","370,488","376,121",Republican,2002
51,United States,"85,769,132","207,643,594","225,485,399",N/A,2006
52,Alabama,,"3,338,467","3,513,952",Republican,2006
53,Alaska,"238,307","465,169","492,452",Republican,2006
54,Arizona,"1,553,032","3,923,786","4,490,327",Republican,2006
55,Arkansas,"780,409","2,004,193","2,130,080",Republican,2006
56,California,"8,899,059","21,582,217","26,739,781",Democrat,2006
57,Colorado,"1,586,105","3,297,308","3,569,901",Republican,2006
58,Connecticut,"1,162,391","2,437,559","2,683,538",Democrat,2006
59,Delaware,"258,053","601,341","659,410",Democrat,2006
60,Florida,"4,884,544","12,187,858","14,211,669",Republican,2006
61,Georgia,"2,143,845","6,115,331","6,799,654",Republican,2006
62,Hawaii,"348,988","908,925","1,012,975",Democrat,2006
63,Idaho,"458,927","993,010","1,072,895",Republican,2006
64,Illinois,"3,586,292","8,667,453","9,483,856",Democrat,2006
65,Indiana,"1,719,351","4,559,294","4,743,856",Republican,2006
66,Iowa,"1,071,509","2,178,322","2,267,991",Republican,2006
67,Kansas,"864,083","1,948,850","2,062,668",Republican,2006
68,Kentucky,"1,370,062","3,100,828","3,218,000",Republican,2006
69,Louisiana,"954,896","3,043,573","3,239,317",Republican,2006
70,Maine,,"1,016,287","1,037,200",Democrat,2006
71,Maryland,"1,809,237","3,833,349","4,261,205",Democrat,2006
72,Massachusetts,"2,243,835","4,552,794","4,970,780",Democrat,2006
73,Michigan,"3,852,008","7,292,624","7,532,918",Democrat,2006
74,Minnesota,"2,217,552","3,667,707","3,896,561",Democrat,2006
75,Mississippi,,"2,077,420","2,154,112",Republican,2006
76,Missouri,"2,178,278","4,253,541","4,427,266",Republican,2006
77,Montana,"411,061","720,447","734,669",Republican,2006
78,Nebraska,"610,499","1,251,027","1,325,932",Republican,2006
79,Nevada,"586,274","1,579,222","1,907,976",Republican,2006
80,New Hampshire,"418,550","975,281","1,006,234",Democrat,2006
81,New Jersey,"2,315,643","5,701,033","6,565,183",Democrat,2006
82,New Mexico,"568,597","1,320,285","1,464,560",Republican,2006
83,New York,"4,703,830","12,878,632","14,665,626",Democrat,2006
84,North Carolina,"2,036,451","6,264,630","6,799,585",Republican,2006
85,North Dakota,"220,479","486,142","503,647",Republican,2006
86,Ohio,"4,184,072","8,461,211","8,687,609",Republican,2006
87,Oklahoma,,"2,547,224","2,709,819",Republican,2006
88,Oregon,"1,399,650","2,628,937","2,829,482",Democrat,2006
89,Pennsylvania,,"9,283,762","9,680,466",Democrat,2006
90,Rhode Island,"392,882","754,219","824,887",Democrat,2006
91,South Carolina,"1,117,311","3,152,046","3,332,190",Republican,2006
92,South Dakota,"341,105","580,592","589,178",Republican,2006
93,Tennessee,"1,868,363","4,433,921","4,641,909",Republican,2006
94,Texas,,"14,255,313","17,029,802",Republican,2006
95,Utah,"582,561","1,664,323","1,752,158",Republican,2006
96,Vermont,"263,025","478,247","487,141",Democrat,2006
97,Virginia,"2,398,589","5,385,522","5,867,219",Republican,2006
98,Washington,"2,085,074","4,403,981","4,861,001",Democrat,2006
99,West Virginia,"473,014","1,401,490","1,439,052",Republican,2006
100,Wisconsin,"2,183,155","4,064,432","4,240,696",Democrat,2006
101,Wyoming,"196,217","379,127","400,187",Republican,2006
