,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies,Rating Category,Female,Male,Unknown,Total_Gender_Count,Female_Ratio,Male_Ratio,Revenue_millions,Budget,Budget_millions,log_Budget,log_Revenue,Primary_Genre
0,637,Life Is Beautiful,1997,8.5,"['Comedy', 'Drama']",Roberto Benigni,Roberto Benigni,230098753,"['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica']",8-9,14.0,33.0,35.0,47.0,0.2978723404255319,0.7021276595744681,230.098753,20000000,20.0,16.811242881518265,19.254019139953993,Comedy
1,128,Princess Mononoke,1997,8.3,"['Adventure', 'Fantasy', 'Animation']",Hayao Miyazaki,Youji Matsuda,169000000,"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",8-9,23.0,58.0,19.0,81.0,0.2839506172839506,0.7160493827160493,169.0,23500000,23.5,16.97251102166758,18.945409278804508,Adventure
2,18491,Neon Genesis Evangelion: The End of Evangelion,1997,8.3,"['Animation', 'Science Fiction', 'Action', 'Drama']",Hideaki Anno,Megumi Ogata,20000000,"['GAINAX', 'movic', 'Star Child Recording', 'TV Tokyo', 'Production I.G', 'KADOKAWA Shoten', 'Toei Company', 'SEGA']",8-9,12.0,66.0,10.0,78.0,0.15384615384615385,0.8461538461538461,20.0,0,0.0,0.0,16.811242881518265,Animation
3,489,Good Will Hunting,1997,8.1,['Drama'],Gus Van Sant,Matt Damon,225933435,"['Miramax', 'Lawrence Bender Productions', 'Be Gentlemen Limited Partnership']",8-9,20.0,73.0,46.0,93.0,0.21505376344086022,0.7849462365591398,225.933435,10000000,10.0,16.118095750958314,19.235750982880344,Drama
4,38286,Three Men and a Leg,1997,8.0,['Comedy'],Massimo Venier,Aldo Baglio,0,"['Rodeo Drive', 'A.Gi.Di.', 'Medusa Film']",7-8,8.0,27.0,40.0,35.0,0.22857142857142856,0.7714285714285715,0.0,0,0.0,0.0,0.0,Comedy
5,21334,Children of Heaven,1997,7.9,"['Drama', 'Family']",Majid Majidi,Reza Naji,925402,"['Kanoon', 'Miramax']",7-8,0.0,5.0,20.0,5.0,0.0,1.0,0.925402,180000,0.18,12.100717685412471,13.737984597291147,Drama
6,597,Titanic,1997,7.9,"['Drama', 'Romance']",James Cameron,Leonardo DiCaprio,2264162353,"['Paramount', '20th Century Fox', 'Lightstorm Entertainment']",7-8,69.0,181.0,121.0,250.0,0.276,0.724,2264.162353,200000000,200.0,19.11382792951231,21.54047070584697,Drama
7,2118,L.A. Confidential,1997,7.8,"['Crime', 'Mystery', 'Thriller']",Curtis Hanson,Russell Crowe,126200000,"['Regency Enterprises', 'Warner Bros. Pictures', 'The Wolper Organization']",7-8,47.0,140.0,75.0,187.0,0.25133689839572193,0.7486631016042781,126.2,35000000,35.0,17.370858648025116,18.653378515995318,Crime
8,16052,Selena,1997,7.7,"['Drama', 'Music', 'History']",Gregory Nava,Jennifer Lopez,60000000,"['Esparza / Katz Productions', 'Q Productions']",7-8,19.0,31.0,51.0,50.0,0.38,0.62,60.0,20000000,20.0,16.811242881518265,17.909855136853043,Drama
9,13929,Geri's Game,1997,7.7,"['Animation', 'Family']",Jan Pinkava,Bob Peterson,0,"['Pixar', 'Walt Disney Pictures']",7-8,2.0,17.0,19.0,19.0,0.10526315789473684,0.8947368421052632,0.0,0,0.0,0.0,0.0,Animation
10,5910,Fireworks,1997,7.7,"['Crime', 'Drama']",Takeshi Kitano,Takeshi Kitano,0,"['Bandai Visual', 'Office Kitano', 'TV Tokyo', 'Tokyo FM']",7-8,22.0,55.0,12.0,77.0,0.2857142857142857,0.7142857142857143,0.0,0,0.0,0.0,0.0,Crime
11,30020,Taste of Cherry,1997,7.6,['Drama'],Abbas Kiarostami,Homayoun Ershadi,0,"['Kanoon', 'Abbas Kiarostami Productions', 'CiBy 2000']",7-8,0.0,8.0,10.0,8.0,0.0,1.0,0.0,0,0.0,0.0,0.0,Drama
12,4995,Boogie Nights,1997,7.6,['Drama'],Paul Thomas Anderson,Mark Wahlberg,43101594,"['New Line Cinema', 'Lawrence Gordon Productions']",7-8,46.0,114.0,130.0,160.0,0.2875,0.7125,43.101594,15000000,15.0,16.52356082573315,17.57907056134979,Drama
13,9444,Anastasia,1997,7.6,"['Animation', 'Family', 'Fantasy', 'Adventure']",Gary Goldman,Meg Ryan,139804348,"['Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment', '20th Century Fox']",7-8,14.0,27.0,42.0,41.0,0.34146341463414637,0.6585365853658537,139.804348,53000000,53.0,17.78580249038432,18.75575449600687,Animation
14,18329,Happy Together,1997,7.6,"['Drama', 'Romance']",Wong Kar-wai,Leslie Cheung,5000000,"['Jet Tone Production', 'Block 2 Pictures', 'Prénom H Co. Ltd.']",7-8,4.0,26.0,32.0,30.0,0.13333333333333333,0.8666666666666667,5.0,125000,0.125,11.736077016252437,15.424948670398354,Drama
15,638,Lost Highway,1997,7.6,"['Drama', 'Thriller', 'Mystery']",David Lynch,Bill Pullman,3756869,"['CiBy 2000', 'October Films', 'Asymmetrical Productions', 'Lost Highway Productions']",7-8,23.0,71.0,43.0,94.0,0.24468085106382978,0.7553191489361702,3.756869,15000000,15.0,16.52356082573315,15.139096721881316,Drama
16,2649,The Game,1997,7.6,"['Drama', 'Thriller', 'Mystery']",David Fincher,Michael Douglas,109423648,"['PolyGram Filmed Entertainment', 'Propaganda Films']",7-8,33.0,82.0,91.0,115.0,0.28695652173913044,0.7130434782608696,109.423648,50000000,50.0,17.72753358339242,18.510737594609065,Drama
