,State,Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Party,Year
0,United States,"107,390,107","194,331,436","210,623,408",N/A,2000
1,Alabama,,"3,241,682","3,334,576",Republican,2000
2,Alaska,"287,825","419,111","440,296",Republican,2000
3,Arizona,"1,559,520","3,357,701","3,816,498",Republican,2000
4,Arkansas,,"1,925,961","2,001,774",Republican,2000
5,California,"11,142,843","19,685,258","24,867,252",Democrat,2000
6,Colorado,,"3,026,316","3,246,521",Republican,2000
7,Connecticut,"1,474,103","2,357,687","2,575,243",Democrat,2000
8,Delaware,,"554,863","594,256",Democrat,2000
9,Florida,"6,138,765","10,667,193","12,475,387",Republican,2000
10,Georgia,"2,684,951","5,639,668","6,087,332",Republican,2000
11,Hawaii,"371,113","832,642","923,737",Democrat,2000
12,Idaho,"516,647","877,406","935,443",Republican,2000
13,Illinois,"4,932,192","8,432,600","9,208,908",Democrat,2000
14,Indiana,"2,246,003","4,424,909","4,527,523",Republican,2000
15,Iowa,,"2,082,950","2,199,529",Democrat,2000
16,Kansas,"1,092,716","1,927,950","1,983,933",Republican,2000
17,Kentucky,"1,568,058","2,955,628","3,059,582",Republican,2000
18,Louisiana,"1,776,133","3,130,267","3,260,060",Republican,2000
19,Maine,,"969,292","979,314",Democrat,2000
20,Maryland,"2,036,455","3,649,631","3,972,224",Democrat,2000
21,Massachusetts,"2,736,006","4,517,052","4,870,470",Democrat,2000
22,Michigan,"4,279,299","7,070,702","7,370,524",Democrat,2000
23,Minnesota,"2,458,303","3,506,432","3,662,005",Democrat,2000
24,Mississippi,,"2,024,650","2,076,861",Republican,2000
25,Missouri,,"4,052,255","4,190,073",Republican,2000
26,Montana,"417,916","667,525","676,065",Republican,2000
27,Nebraska,"707,223","1,224,178","1,266,496",Republican,2000
28,Nevada,"613,360","1,346,116","1,523,209",Republican,2000
29,New Hampshire,"578,656","890,622","934,176",Republican,2000
30,New Jersey,"3,293,378","5,601,788","6,356,954",Democrat,2000
31,New Mexico,"615,607","1,234,088","1,318,129",Democrat,2000
32,New York,"6,960,215","12,380,208","14,344,348",Democrat,2000
33,North Carolina,"3,015,964","5,744,241","6,143,214",Republican,2000
34,North Dakota,"292,249","477,968","482,078",Republican,2000
35,Ohio,"4,795,989","8,295,592","8,487,355",Republican,2000
36,Oklahoma,,"2,475,220","2,568,304",Republican,2000
37,Oregon,"1,559,215","2,364,402","2,595,354",Democrat,2000
38,Pennsylvania,,"9,086,897","9,375,146",Democrat,2000
39,Rhode Island,"412,074","753,877","804,417",Democrat,2000
40,South Carolina,"1,433,533","2,944,326","3,025,380",Republican,2000
41,South Dakota,"322,159","548,498","554,875",Republican,2000
42,Tennessee,"2,100,241","4,162,996","4,316,391",Republican,2000
43,Texas,"6,407,637","13,033,081","15,138,468",Republican,2000
44,Utah,"784,582","1,431,668","1,534,950",Republican,2000
45,Vermont,"297,146","459,174","463,503",Democrat,2000
46,Virginia,"2,789,808","5,069,265","5,389,008",Republican,2000
47,Washington,"2,517,028","4,098,044","4,419,907",Democrat,2000
48,West Virginia,,"1,390,365","1,405,021",Republican,2000
49,Wisconsin,,"3,842,044","4,016,401",Democrat,2000
50,Wyoming,"221,685","361,078","366,639",Republican,2000
51,United States,"123,535,883","203,483,455","220,336,019",N/A,2004
52,Alabama,"1,890,317","3,292,608","3,427,542",Republican,2004
53,Alaska,"314,502","452,124","476,378",Republican,2004
54,Arizona,"2,038,069","3,717,055","4,215,706",Republican,2004
55,Arkansas,"1,070,573","1,969,208","2,072,986",Republican,2004
56,California,"12,589,367","21,132,533","26,246,548",Democrat,2004
57,Colorado,"2,148,036","3,192,647","3,443,164",Republican,2004
58,Connecticut,"1,607,808","2,429,634","2,652,587",Democrat,2004
59,Delaware,"377,407","584,817","635,370",Democrat,2004
60,Florida,"7,640,319","11,811,921","13,643,828",Republican,2004
61,Georgia,"3,317,336","5,878,186","6,499,325",Republican,2004
62,Hawaii,"431,662","889,540","982,882",Democrat,2004
63,Idaho,"612,786","946,160","1,016,255",Republican,2004
64,Illinois,"5,350,493","8,576,696","9,391,420",Democrat,2004
65,Indiana,"2,512,142","4,504,260","4,660,157",Republican,2004
66,Iowa,"1,521,966","2,156,389","2,239,979",Republican,2004
67,Kansas,"1,213,108","1,928,764","2,032,763",Republican,2004
68,Kentucky,"1,816,867","3,057,741","3,157,464",Republican,2004
69,Louisiana,"1,956,590","3,182,762","3,379,937",Republican,2004
70,Maine,"751,519","1,003,792","1,022,043",Democrat,2004
71,Maryland,"2,395,791","3,797,264","4,179,376",Democrat,2004
72,Massachusetts,"2,927,455","4,533,859","4,935,787",Democrat,2004
73,Michigan,"4,875,692","7,263,024","7,508,568",Democrat,2004
74,Minnesota,"2,842,912","3,609,185","3,819,020",Democrat,2004
75,Mississippi,,"2,068,766","2,133,681",Republican,2004
76,Missouri,"2,764,635","4,180,960","4,339,414",Republican,2004
77,Montana,"456,096","699,114","711,858",Republican,2004
78,Nebraska,"792,906","1,236,522","1,305,430",Republican,2004
79,Nevada,"831,563","1,501,437","1,776,962",Republican,2004
80,New Hampshire,"683,672","956,422","984,422",Democrat,2004
81,New Jersey,"3,638,153","5,663,201","6,513,394",Democrat,2004
82,New Mexico,"775,301","1,282,767","1,411,419",Republican,2004
83,New York,"7,448,266","12,738,056","14,598,898",Democrat,2004
